Fecha,AMAZONAS,ANCASH,APURIMAC,AREQUIPA,AYACUCHO,CAJAMARCA,CALLAO,CUSCO,HUANCAVELICA,HUANUCO,ICA,JUNIN,LA LIBERTAD,LAMBAYEQUE,LIMA,LORETO,MADRE DE DIOS,MOQUEGUA,PASCO,PIURA,PUNO,SAN MARTIN,TACNA,TUMBES,UCAYALI
2020-04-27,17,47,6,76,17,10,230,14,18,20,51,33,71,295,1970,74,9,3,12,236,28,23,5,16,109
2020-04-28,32,101,6,76,13,14,200,23,13,15,90,43,175,241,1720,173,3,12,5,142,22,43,14,12,184
2020-04-29,28,80,7,111,32,29,189,22,20,13,131,45,142,248,2524,235,8,20,13,153,18,21,9,47,87
2020-04-30,15,108,13,69,13,47,255,17,7,19,41,66,114,212,1742,94,3,10,1,180,18,15,10,30,79
2020-05-01,47,63,0,38,12,19,115,6,49,8,35,26,52,227,1401,144,2,11,5,141,8,18,4,17,76
2020-05-02,50,119,1,31,16,29,215,11,22,3,48,55,111,144,1936,105,3,4,9,196,5,30,5,39,106
2020-05-03,2,27,0,7,2,13,95,2,6,4,28,48,51,131,1229,25,0,0,2,86,1,20,4,11,94
2020-05-04,26,99,6,50,27,14,201,7,2,7,62,44,120,306,2365,133,5,12,20,216,9,7,5,21,91
2020-05-05,12,121,3,57,16,14,270,24,34,4,37,60,151,223,2408,57,4,13,8,216,8,11,9,10,59
2020-05-06,11,74,1,56,20,10,253,50,2,11,60,57,112,165,2263,110,6,5,9,213,4,31,5,14,81
2020-05-07,9,78,0,47,13,8,329,48,5,12,76,63,54,154,2391,76,2,4,7,153,3,62,1,14,12
2020-05-08,19,53,0,39,24,11,224,48,13,5,97,41,73,150,2084,126,5,23,2,145,1,50,5,11,101
2020-05-09,4,69,1,59,9,6,185,11,5,13,37,35,82,67,1440,105,13,2,6,89,5,28,8,22,190
2020-05-10,0,11,0,25,2,2,42,2,1,2,12,17,38,27,613,51,0,0,2,38,1,14,0,2,47
2020-05-11,12,121,3,51,14,13,212,56,1,16,42,44,57,127,2342,191,16,3,3,164,3,11,1,30,46
2020-05-12,11,101,3,104,17,22,316,33,1,13,94,38,103,129,2926,118,11,2,9,132,4,12,3,29,84
2020-05-13,8,152,2,112,19,3,351,47,5,62,73,74,72,164,2811,153,14,6,8,115,1,29,4,36,109
2020-05-14,3,179,2,121,12,12,325,31,12,26,84,29,83,180,2138,133,8,4,12,135,1,38,6,23,110
2020-05-15,23,166,3,96,47,20,310,6,5,23,102,48,210,259,2420,237,4,1,7,99,7,21,10,38,104
2020-05-16,32,103,0,85,39,13,215,10,5,8,118,43,145,134,2396,156,19,13,15,58,1,54,5,36,407
2020-05-17,1,49,2,8,8,2,108,0,9,5,34,8,6,26,1308,77,0,0,6,50,0,19,0,14,52
2020-05-18,18,96,4,86,15,18,236,6,6,17,182,98,120,224,3098,165,17,9,8,181,5,92,17,24,354
2020-05-19,30,281,2,122,16,28,382,39,16,20,88,39,133,218,2812,253,9,39,15,262,4,89,12,40,140
2020-05-20,10,125,0,156,17,24,349,31,10,17,99,45,142,134,2979,195,5,60,19,377,6,41,8,27,317
2020-05-21,54,134,5,144,19,19,382,39,17,9,172,38,267,165,2990,201,10,49,31,343,22,43,30,35,160
2020-05-22,25,175,13,197,40,29,428,43,24,36,94,54,234,156,3431,152,40,60,42,476,13,26,28,41,187
2020-05-23,7,140,8,146,31,41,346,32,6,22,78,37,186,199,3030,147,26,35,36,534,6,18,43,29,125
2020-05-24,4,52,0,35,6,7,72,6,7,7,20,21,68,96,981,96,0,18,25,200,2,15,2,14,36
2020-05-25,49,178,21,192,25,31,409,51,12,30,247,51,269,320,4113,128,39,32,15,470,16,24,37,44,66
2020-05-26,21,186,2,129,23,31,496,30,9,21,168,53,182,460,4063,188,21,27,13,411,0,62,6,37,180
2020-05-27,16,225,8,184,52,19,511,37,14,32,210,82,181,508,4251,140,27,39,25,456,16,65,7,28,161
2020-05-28,24,241,9,186,28,32,510,46,10,23,132,67,307,315,3558,77,53,17,22,356,13,65,31,44,208
2020-05-29,10,174,9,165,16,20,358,57,11,33,296,68,160,242,3207,181,52,16,4,266,24,51,10,23,171
2020-05-30,12,142,9,86,42,15,250,19,11,10,108,46,173,325,2618,103,23,11,12,213,10,63,18,10,206
2020-05-31,12,34,3,20,4,5,142,1,3,9,28,15,100,60,1405,278,1,1,3,25,0,39,0,10,50
2020-06-01,9,133,6,60,32,31,169,22,12,18,160,45,224,131,1905,130,33,8,33,423,6,90,13,41,110
2020-06-02,9,127,13,97,13,19,158,23,5,24,168,51,93,144,1742,122,24,10,9,272,12,98,14,26,36
2020-06-03,18,106,11,42,17,28,123,11,27,27,89,37,88,118,789,55,27,13,33,181,18,59,12,26,35
2020-06-04,16,97,18,50,35,16,172,14,12,75,77,20,149,157,1675,83,84,22,29,360,26,60,14,23,34
2020-06-05,21,62,11,115,17,26,220,16,4,36,75,15,109,67,2458,67,20,4,12,286,6,65,19,41,144
2020-06-06,7,84,10,121,24,28,209,39,11,8,116,43,134,117,2224,24,5,2,8,164,7,43,15,16,99

